# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00003	singlemode	04:30:21.19	-70:12:54.7	20.471	21.032	0.561	0.06644253	0.00000012	7000.01068	0.286	0.000	-99.99	0.000	-99.99	-99.99	LMC158.5.3261	-99.99	-99.99	
OGLE-LMC-DSCT-00005	singlemode	04:31:08.07	-69:11:34.8	20.301	20.805	0.504	0.06768650	0.00000010	7000.00518	0.167	0.000	-99.99	0.000	-99.99	-99.99	LMC156.6.844	LMC546.19.1770	-99.99	
OGLE-LMC-DSCT-00006	singlemode	04:31:37.72	-69:46:08.3	19.673	20.172	0.499	0.12224786	0.00000012	7000.11723	0.204	0.213	3.640	0.000	-99.99	-99.99	LMC157.6.2706	LMC538.25.1005	-99.99	
OGLE-LMC-DSCT-00008	singlemode	04:32:01.51	-70:13:31.7	19.958	20.478	0.520	0.08698293	0.00000012	7000.03921	0.195	0.000	-99.99	0.000	-99.99	-99.99	LMC158.4.1617	-99.99	-99.99	
OGLE-LMC-DSCT-00009	singlemode	04:32:39.96	-70:05:14.0	20.638	21.071	0.433	0.07903197	0.00000007	7000.00563	0.298	0.519	4.439	0.000	-99.99	-99.99	LMC157.1.1012	LMC538.15.3177	-99.99	
OGLE-LMC-DSCT-00010	singlemode	04:32:40.80	-69:13:55.0	19.475	20.340	0.865	0.12522965	0.00000013	7000.11554	0.182	0.000	-99.99	0.000	-99.99	-99.99	LMC156.6.4466	LMC546.18.772	-99.99	
OGLE-LMC-DSCT-00011	singlemode	04:32:41.92	-69:08:23.6	20.507	20.961	0.454	0.06422702	0.00000005	7000.01286	0.281	0.581	4.146	0.000	-99.99	-99.99	LMC156.6.5796	LMC546.18.4646	-99.99	
OGLE-LMC-DSCT-00012	singlemode	04:32:44.40	-69:01:24.7	19.742	20.277	0.535	0.09725696	0.00000006	7000.02365	0.253	0.463	4.162	0.000	-99.99	-99.99	LMC156.5.3800	LMC546.18.4490	-99.99	
OGLE-LMC-DSCT-00013	singlemode	04:32:48.57	-69:43:12.2	19.902	20.404	0.502	0.09738722	0.00000006	7000.00071	0.309	0.313	3.638	0.000	-99.99	-99.99	LMC157.3.1192	LMC538.24.5766	-99.99	
OGLE-LMC-DSCT-00014	singlemode	04:32:51.22	-69:35:32.0	20.242	20.663	0.421	0.08051900	0.00000006	7000.05988	0.247	0.464	3.982	0.000	-99.99	-99.99	LMC157.4.1329	LMC546.09.959	-99.99	
OGLE-LMC-DSCT-00015	singlemode	04:33:03.88	-70:10:16.6	20.316	20.732	0.416	0.06978333	0.00000005	7000.04070	0.272	0.287	3.926	0.000	-99.99	-99.99	LMC158.4.3841	LMC538.15.1869	-99.99	
OGLE-LMC-DSCT-00016	singlemode	04:33:16.28	-70:20:24.0	20.640	21.058	0.418	0.05621451	0.00000004	7000.05183	0.307	0.451	3.874	0.000	-99.99	-99.99	LMC158.3.3428	LMC538.07.5266	-99.99	
OGLE-LMC-DSCT-00017	singlemode	04:34:17.50	-68:22:01.5	20.639	-99.99	-99.99	0.07186496	0.00000005	7000.04090	0.430	0.489	3.903	0.000	-99.99	-99.99	LMC155.5.5377	LMC547.09.1069	-99.99	
OGLE-LMC-DSCT-00018	singlemode	04:34:20.25	-69:31:03.5	20.567	20.963	0.396	0.08521925	0.00000006	7000.07249	0.324	0.431	4.112	0.000	-99.99	-99.99	LMC156.1.2588	LMC546.08.2000	-99.99	
OGLE-LMC-DSCT-00019	singlemode	04:34:46.26	-70:12:51.6	19.949	20.504	0.555	0.09443319	0.00000010	7000.00482	0.195	0.000	-99.99	0.000	-99.99	-99.99	LMC151.5.966	LMC538.14.873	-99.99	
OGLE-LMC-DSCT-00020	singlemode	04:34:51.87	-68:45:13.8	18.709	19.423	0.714	0.09630074	0.00000005	7000.05165	0.158	0.427	3.733	0.161	1.451	-99.99	LMC155.2.477	LMC539.15.6252	-99.99	
OGLE-LMC-DSCT-00021	singlemode	04:34:59.53	-70:11:20.7	19.628	20.086	0.458	0.10813589	0.00000006	7000.09570	0.296	0.331	3.630	0.000	-99.99	-99.99	LMC151.5.1021	LMC538.14.1009	-99.99	
OGLE-LMC-DSCT-00022	singlemode	04:35:18.34	-67:51:22.0	20.299	20.754	0.455	0.08848894	0.00000007	7000.06803	0.355	0.562	3.901	0.000	-99.99	-99.99	LMC154.5.4997	LMC547.18.3729	-99.99	
OGLE-LMC-DSCT-00023	singlemode	04:35:23.26	-68:29:01.3	21.147	21.654	0.507	0.05507406	0.00000005	7000.01211	0.410	0.000	-99.99	0.000	-99.99	-99.99	LMC155.4.2267	LMC539.24.7608	-99.99	
