# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0001	RG	04:45:19.56	-67:03:14.3	15.905	17.291	1.386	376.42000000	9231.2000	0.030	0.3140	54.10	132.30	1	-99.99	-99.99	LMC145.1.4667	LMC540.27.63	-99.99
OGLE-LMC-HB-0002	RG	04:46:24.84	-72:47:57.8	16.520	17.900	1.380	207.35000000	9015.7000	0.039	0.3140	79.70	24.30	1	-99.99	-99.99	-99.99	LMC528.21.4791	OGLE-LMC-ECL-26648
OGLE-LMC-HB-0003	MS	04:47:02.42	-68:55:01.7	15.886	15.848	-0.038	4.18621800	9002.5750	0.030	0.1360	41.70	168.20	1	-99.99	-99.99	LMC141.8.8773	LMC539.08.103	OGLE-LMC-ECL-26688
OGLE-LMC-HB-0004	RG	04:47:16.11	-68:58:24.9	15.574	17.283	1.709	243.96500000	9112.6000	0.028	0.2910	30.70	173.40	0	ECL	-99.99	LMC142.4.50	LMC539.08.27	-99.99
OGLE-LMC-HB-0005	RG	04:47:18.62	-70:04:44.6	14.225	15.753	1.528	494.52000000	9437.3000	0.037	0.3109	62.00	120.40	1	-99.99	-99.99	LMC143.1.18	LMC530.31.2375	-99.99
OGLE-LMC-HB-0006	RG	04:47:24.27	-70:40:39.1	15.853	17.360	1.507	202.32600000	9000.2000	0.029	0.1830	51.70	92.70	1	TEO	-99.99	LMC144.1.7335	LMC530.14.7330	-99.99
OGLE-LMC-HB-0007	RG	04:47:27.76	-69:29:08.2	14.506	15.943	1.437	662.83000000	9164.7000	0.021	0.5190	70.00	14.40	1	-99.99	-99.99	LMC142.1.21	LMC531.15.2912	-99.99
OGLE-LMC-HB-0008	RG	04:47:46.00	-69:17:25.5	14.271	15.623	1.352	404.20000000	9264.7000	0.031	0.2120	50.50	2.60	1	-99.99	-99.99	LMC142.2.45	LMC531.24.4	-99.99
OGLE-LMC-HB-0009	RG	04:49:39.18	-68:30:55.4	15.161	16.968	1.807	592.56000000	9482.8000	0.061	0.4466	59.90	79.20	1	-99.99	-99.99	LMC141.3.13731	LMC532.06.25753	EROS2-star lm015-5k-26494
OGLE-LMC-HB-0010	RG	04:50:08.58	-70:01:04.8	15.094	16.287	1.193	177.16100000	9062.8000	0.023	0.4070	36.65	65.80	1	-99.99	-99.99	LMC136.8.64	LMC530.29.22963	-99.99
